avenger_id,avenger_name,avenger_category,about_avenger,year_joined,years_since_joined,introduction_date,number_of_appearances,serving_currently,honorary,probationary_intro_date
1,"Henry Jonathan ""Hank"" Pym",MALE,http://marvel.wikia.com/Henry_Pym_(Earth-616),1963,52,Sep-63,1269,YES,Full,
2,Janet van Dyne,FEMALE,http://marvel.wikia.com/Janet_van_Dyne_(Earth-616),1963,52,Sep-63,1165,YES,Full,
3,"Anthony Edward ""Tony"" Stark",MALE,http://marvel.wikia.com/Anthony_Stark_(Earth-616),1963,52,Sep-63,3068,YES,Full,
4,Robert Bruce Banner,MALE,http://marvel.wikia.com/Robert_Bruce_Banner_(Earth-616),1963,52,Sep-63,2089,YES,Full,
5,Thor Odinson,MALE,http://marvel.wikia.com/Thor_Odinson_(Earth-616),1963,52,Sep-63,2402,YES,Full,
6,Richard Milhouse Jones,MALE,http://marvel.wikia.com/Richard_Jones_(Earth-616),1963,52,Sep-63,612,YES,Honorary,
7,Steven Rogers,MALE,http://marvel.wikia.com/Steven_Rogers_(Earth-616),1964,51,Mar-64,3458,YES,Full,
8,Clinton Francis Barton,MALE,http://marvel.wikia.com/Clint_Barton_(Earth-616),1965,50,May-65,1456,YES,Full,
9,Pietro Maximoff,MALE,http://marvel.wikia.com/Pietro_Maximoff_(Earth-616),1965,50,May-65,769,YES,Full,
10,Wanda Maximoff,FEMALE,http://marvel.wikia.com/Wanda_Maximoff_(Earth-616),1965,50,May-65,1214,YES,Full,
11,Jacques Duquesne,MALE,http://marvel.wikia.com/Jacques_Duquesne_(Earth-616),1965,50,Sep-65,115,NO,Full,
12,Heracles,MALE,http://marvel.wikia.com/Hercules_(Earth-616),1967,48,Oct-67,741,YES,Full,
13,T'Challa,MALE,http://marvel.wikia.com/T%27Challa_(Earth-616),1968,47,May-68,780,NO,Full,
14,Victor Shade (alias),MALE,http://marvel.wikia.com/Vision_(Earth-616),1968,47,Nov-68,1036,YES,Full,
15,Dane Whitman,MALE,http://marvel.wikia.com/Dane_Whitman,1969,46,Dec-69,482,NO,Full,
16,Natalia Alianovna Romanova,FEMALE,http://marvel.wikia.com/Natalia_Romanova_(Earth-616)#,1973,42,May-73,1112,YES,Full,
17,Brandt,FEMALE,http://marvel.wikia.com/Mantis_(Earth-616)#,1973,42,Aug-73,160,NO,Full,
18,Henry P. McCoy,MALE,http://marvel.wikia.com/Henry_McCoy_(Earth-616)#,1976,39,Sep-76,1886,NO,Full,Jul-75
19,Heather Douglas,FEMALE,http://marvel.wikia.com/Heather_Douglas_(Earth-616)#,1976,39,Sep-76,332,NO,Full,Jul-75
20,Patsy Walker,FEMALE,http://marvel.wikia.com/Patricia_Walker_(Earth-616)#,1976,39,Sep-76,557,NO,Full,Nov-75
21,Matthew Liebowitz (birth name),MALE,http://marvel.wikia.com/Matthew_Hawk_(Earth-616)#,1975,40,Aug-75,197,NO,Full,
22,Robert L. Frank Sr.,MALE,http://marvel.wikia.com/Robert_Frank_(Earth-616)#,1978,37,Jul-78,106,NO,Full,Apr-77
23,Simon Williams,MALE,http://marvel.wikia.com/Simon_Williams_(Earth-616)#,1979,36,Mar-79,692,YES,Full,Apr-77
24,Yondu Udonta,MALE,http://marvel.wikia.com/Yondu_Udonta_(Earth-691)#,1978,37,Feb-78,109,NO,Honorary,
25,Martinex T'Naga,MALE,http://marvel.wikia.com/Martinex_T%27Naga_(Earth-691)#,1978,37,Feb-78,100,NO,Honorary,
26,Charlie-27,MALE,http://marvel.wikia.com/Charlie-27_(Earth-691)#,1978,37,Feb-78,132,NO,Honorary,
27,Nicholette Gold,FEMALE,http://marvel.wikia.com/Nicholette_Gold_(Earth-691)#,1978,37,Feb-78,108,NO,Honorary,
28,Stakar,MALE,http://marvel.wikia.com/Stakar_Ogord_(Earth-691)#,1978,37,Feb-78,100,NO,Honorary,
29,Vance Astrovik,MALE,http://marvel.wikia.com/Vance_Astro_(Earth-691)#,1978,37,Feb-78,156,NO,Honorary,
30,Mar-Vell,MALE,http://marvel.wikia.com/Mar-Vell_(Earth-616)#,1978,37,Jul-78,254,NO,Full,
31,Carol Susan Jane Danvers,FEMALE,http://marvel.wikia.com/Carol_Danvers_(Earth-616)#,1979,36,Apr-79,935,YES,Full,
32,Samuel Thomas Wilson,MALE,http://marvel.wikia.com/Samuel_Wilson_(Earth-616)#,1979,36,Jun-79,576,YES,Full,
33,Jocasta,FEMALE,http://marvel.wikia.com/Jocasta_(Earth-616)#,1988,27,Nov-88,141,YES,Full,Jul-80
34,Greer Grant Nelson,FEMALE,http://marvel.wikia.com/Greer_Nelson_(Earth-616)#,1981,34,Sep-81,355,YES,Full,
35,Jennifer Walters,FEMALE,http://marvel.wikia.com/Jennifer_Walters_(Earth-616)#,1982,33,Jul-82,933,YES,Full,
36,Monica Rambeau,FEMALE,http://marvel.wikia.com/Monica_Rambeau_(Earth-616)#,1983,32,May-83,348,YES,Full,Jan-83
37,Eros,MALE,http://marvel.wikia.com/Eros_(Earth-616)#,1984,31,May-84,206,NO,Full,Jun-83
38,James R. Rhodes,MALE,http://marvel.wikia.com/James_Rhodes_(Earth-616)#,1984,31,Sep-84,533,NO,Full,May-84
39,Barbara Barton (nee Morse),FEMALE,http://marvel.wikia.com/Barbara_Morse_(Earth-616)#,1984,31,Sep-84,374,NO,Full,Jun-84
40,Moira Brandon,FEMALE,http://marvel.wikia.com/Moira_Brandon_(Earth-616)#,1993,22,Nov-93,2,NO,Honorary,
41,Benjamin Jacob Grimm,MALE,http://marvel.wikia.com/Benjamin_Grimm_(Earth-616)#,1986,29,Jun-86,2305,NO,Full,
42,Bonita Juarez,FEMALE,http://marvel.wikia.com/Bonita_Juarez_(Earth-616)#,1987,28,Sep-87,83,NO,Full,
43,Marc Spector,MALE,http://marvel.wikia.com/Marc_Spector_(Earth-616)#,1988,27,Jun-88,402,NO,Full,Sep-87
44,John F. Walker,MALE,http://marvel.wikia.com/John_Walker_(Earth-616)#,1989,26,May-89,352,NO,Full,
45,Jim Hammond (alias),MALE,http://marvel.wikia.com/Human_Torch_(Android)_(Earth-616)#,1989,26,Nov-89,565,NO,Full,
46,Miguel Santos,MALE,http://marvel.wikia.com/Miguel_Santos_(Earth-616)#,1991,24,Apr-91,112,NO,Full,
